"date","text","who"
2015-08-06,"TRUMP: I fully understand. ","TRUMP"
2015-08-06,"TRUMP: I fully understand. ","TRUMP"
2015-08-06,"TRUMP: I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But -- and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee. ","TRUMP"
2015-08-06,"PAUL: This is what's wrong! ","PAUL"
2015-08-06,"PAUL: I mean, this is what's wrong. He buys and sells politicians of all stripes, he's already... ","PAUL"
2015-08-06,"PAUL: Hey, look, look! He's already hedging his bet on the Clintons, OK? So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent... ","PAUL"
2015-08-06,"PAUL: ...but I'd say that he's already hedging his bets because he's used to buying politicians. ","PAUL"
2015-08-06,"TRUMP: Well, I've given him plenty of money. ","TRUMP"
2015-08-06,"TRUMP: I will not make the pledge at this time. ","TRUMP"
2015-08-06,"CARSON: Well, I could take issue with -- with all of those things, but we don't have time. But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and I'm looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly. So, you know, experience comes from a large number of different arenas, and America became a great nation early on not because it was flooded with politicians, but because it was flooded with people who understood the value of personal responsibility, hard work, creativity, innovation, and that's what will get us on the right track now, as well. ","CARSON"
2015-08-06,"RUBIO: Well, thank you for the question, Chris, and it's great to be here tonight. Let me begin by saying this","RUBIO"
2015-08-06,"BUSH: Absolutely, I do, and I'm gonna run hard, run with heart, and run to win. I'm gonna have to earn this. Maybe the barrier -- the bar's even higher for me. That's fine. I've got a record in Florida. I'm proud of my dad, and I'm certainly proud of my brother. In Florida, they called me Jeb, because I earned it. I cut taxes every year, totaling $19 billion. We were -- we had -- we balanced every budget. We went from $1 billion of reserves to $9 billion of reserves. We were one of two states that went to AAA bond rating. They keep -- they called me Veto Corleone. Because I vetoed 2,500 separate line-items in the budget. [applause] I am my own man. I governed as a conservative, and I govern effectively. And the net effect was, during my eight years, 1.3 million jobs were created. We left the state better off because I applied conservative principles in a purple state the right way, and people rose up. [applause] ","BUSH"
2015-08-06,"TRUMP: Only Rosie O'Donnell. [laughter] ","TRUMP"
2015-08-06,"TRUMP: Thank you. ","TRUMP"
2015-08-06,"TRUMP: Yes, I'm sure it was. ","TRUMP"
2015-08-06,"TRUMP: I think the big problem this country has is being politically correct. [applause] I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either. This country is in big trouble. We don't win anymore. We lose to China. We lose to Mexico both in trade and at the border. We lose to everybody. And frankly, what I say, and oftentimes it's fun, it's kidding. We have a good time. What I say is what I say. And honestly Megyn, if you don't like it, I'm sorry. I've been very nice to you, although I could probably maybe not be, based on the way you have treated me. But I wouldn't do that. [applause] But you know what, we -- we need strength, we need energy, we need quickness and we need brain in this country to turn it around. That, I can tell you right now. ","TRUMP"
2015-08-06,"CRUZ: Chris, I believe the American people are looking for someone to speak the truth. [applause] If you're looking for someone to go to Washington, to go along to get along, to get -- to agree with the career politicians in both parties who get in bed with the lobbyists and special interests, then I ain't your guy. There is a reason... [applause] .... that we have $18 trillion in debt. Because as conservatives, as Republicans, we keep winning elections. We got a Republican House, we've got a Republican Senate, and we don't have leaders who honor their commitments. I will always tell the truth and do what I said I would do. [applause] ","CRUZ"
2015-08-06,"CHRISTIE: If you think it's bad now, you should've seen it when I got there. [laught and applause] The fact is -- the fact is, in the eight years before I became governor, taxes and fees were raised at the state level 115 times. In the eight years before I became governor, spending was increased 56 percent. And in the eight years before I become governor, taxes and fees were raised at the state level 115 times. In the eight years before I became Governor, spending was increased 56 percent, and in the eight years before I became governor, there was zero net private sector job growth in New Jersey. Zero. For eight years. So, what did we do? We came in, we balanced an $11 billion deficit on a $29 billion budget by cutting over 800 programs in the state budget. We brought the budget into balance with no tax increases. In fact, we vetoed five income tax increases during my time as governor. We cut business taxes $2.3 billion, and we cut regulation by one-third of what my predecessor put in place. And, what's happened since? A hundred ninety-two thousand private sector jobs in the five and a half years I've been governor. We have a lot of work to do in New Jersey, but I am darn proud we've brought our state back. [applause] ","CHRISTIE"
2015-08-06,"WALKER: Well, I'm pro-life, I've always been pro-life, and I've got a position that I think is consistent with many Americans out there in that... [applause] ...in that I believe that that is an unborn child that's in need of protection out there, and I've said many a time that that unborn child can be protected, and there are many other alternatives that can also protect the life of that mother. That's been consistently proven. Unlike Hillary Clinton, who has a radical position in terms of support for Planned Parenthood, I defunded Planned Parenthood more than four years ago, long before any of these videos came out... [applause] ...I've got a position that's in line with everyday America. [applause] ","WALKER"
2015-08-06,"HUCKABEE: Chris, I disagree with the idea that the real issue is a constitutional amendment. That's a long and difficult process. I've actually taken the position that's bolder than that. A lot of people are talking about defunding planned parenthood, as if that's a huge game changer. I think it's time to do something even more bold. I think the next president ought to invoke the Fifth, and Fourteenth Amendments to the constitution now that we clearly know that that baby inside the mother's womb is a person at the moment of conception. The reason we know that it is is because of the DNA schedule that we now have clear scientific evidence on. And, this notion that we just continue to ignore the personhood of the individual is a violation of that unborn child's Fifth and 14th Amendment rights for due process and equal protection under the law. It's time that we recognize the Supreme Court is not the Supreme Being, and we change the policy to be pro-life and protect children instead of rip up their body parts and sell them like they're parts to a Buick. [applause] ","HUCKABEE"
2015-08-06,"PAUL: First of all, only ISIS is responsible for the terrorism. Only ISIS is responsible for the depravity. But, we do have to examine, how are we going to defeat ISIS? I've got a proposal. I'm the leading voice in America for not arming the allies of ISIS. [applause] I've been fighting amidst a lot of opposition from both Hillary Clinton, as well as some Republicans who wanted to send arms to the allies of ISIS. ISIS rides around in a billion dollars worth of U.S. Humvees. It's a disgrace. We've got to stop -- we shouldn't fund our enemies, for goodness sakes. So, we didn't create ISIS -- ISIS created themselves, but we will stop them, and one of the ways we stop them is by not funding them, and not arming them. [applause] ","PAUL"
2015-08-06,"KASICH: Well, first of all... [applause] ...first of all, Megyn, you should know that -- that President Reagan expanded Medicaid three or four times. Secondly, I had an opportunity to bring resources back to Ohio to do what? To treat the mentally ill. Ten thousand of them sit in our prisons. It costs $22,500 a year... [applause] ...to keep them in prison. I'd rather get them their medication so they could lead a decent life. Secondly, we are rehabbing the drug-addicted. Eighty percent of the people in our prisons have addictions or problems. We now treat them in the prisons, release them in the community and the recidivism rate is 10 percent and everybody across this country knows that the tsunami of drugs is -- is threatening their very families. So we're treating them and getting them on their feet. And, finally, the working poor, instead of them having come into the emergency rooms where it costs more, where they're sicker and we end up paying, we brought a program in here to make sure that people could get on their feet. And do you know what? Everybody has a right to their God-given purpose. And finally, our Medicaid is growing at one of the lowest rates in the country. And, finally, we went from $8 billion in the hole to $2 billion in the black. We've cut $5 billion in taxes... [timer sounds] ...and we've grown 350,000 jobs. [applause] ","KASICH"
2015-08-06,"BUSH: I do. I believe that the great majority of people coming here illegally have no other option. They want to provide for their family. But we need to control our border. It's not -- it's our responsibility to pick and choose who comes in. So I -- I've written a book about this and yet this week, I did come up with a comprehensive strategy that -- that really mirrored what we said in the book, which is that we need to deal with E-Verify, we need to deal with people that come with a legal visa and overstay. We need to be much more strategic on how we deal with border enforcement, border security. We need to eliminate the sanctuary cities in this country. It is ridiculous and tragic...[applause]...that people are dying because of the fact that -- that local governments are not following the federal law. There's much to do. And I think rather than talking about this as a wedge issue, which Barack Obama has done now for six long years, the next president -- and I hope to be that president -- will fix this once and for all so that we can turn this into a driver for high sustained economic growth. And there should be a path to earned legal status...[timer sounds] ...for those that are here. Not -- not amnesty, earned legal status, which means you pay a fine and do many things over an extended period of time. ","BUSH"
2015-08-06,"TRUMP: So, if it weren't for me, you wouldn't even be talking about illegal immigration, Chris. You wouldn't even be talking about it. [applause] This was not a subject that was on anybody's mind until I brought it up at my announcement. And I said, Mexico is sending. Except the reporters, because they're a very dishonest lot, generally speaking, in the world of politics, they didn't cover my statement the way I said it. The fact is, since then, many killings ,murders, crime, drugs pouring across the border, are money going out and the drugs coming in. And I said we need to build a wall, and it has to be built quickly. And I don't mind having a big beautiful door in that wall so that people can come into this country legally. But we need, Jeb, to build a wall, we need to keep illegals out. [cheering and applause] ","TRUMP"
2015-08-06,"TRUMP: Border Patrol, I was at the border last week. Border Patrol, people that I deal with, that I talk to, they say this is what's happening. Because our leaders are stupid. Our politicians are stupid. And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them. Why should they when the stupid leaders of the United States will do it for them? And that's what is happening whether you like it or not. [cheering and applause] ","TRUMP"
2015-08-06,"KASICH: Chris, first of all, I was just saying to Chris Christie, they say we're outspoken, we need to take lessons from Donald Trump if we're really going to learn it. Here is the thing about Donald Trump. Donald Trump is hitting a nerve in this country. He is. He's hitting a nerve. People are frustrated. They're fed up. They don't think the government is working for them. And for people who want to just tune him out, they're making a mistake. Now, he's got his solutions. Some of us have other solutions. You know, look, I balanced the federal budget as one of the chief architects when I was in Washington. Hasn't been done since. I was a military reformer. I took the state of Ohio from an $8 billion hole and a 350,000 job loss to a $2 billion surplus and a gain of 350,000 jobs. ","KASICH"
2015-08-06,"KASICH: But the point is that we all have solutions. Mr. Trump is touching a nerve because people want the wall to be built. They want to see an end to illegal immigration. They want to see it, and we all do. But we all have different ways of getting there. And you're going to hear from all of us tonight about what our ideas are. ","KASICH"
