pmid,sent,text,hedge
29215311,1,To train a generic deep learning software (DLS) to classify breast cancer on ultrasound images and to compare its performance to human readers with variable breast imaging experience.,0
29215311,2,"In this retrospective study, all breast ultrasound examinations from January 1, 2014 to December 31, 2014 at our institution were reviewed.",0
29215311,3,"Patients with post-surgical scars, initially indeterminate, or malignant lesions with histological diagnoses or 2-year follow-up were included.",0
29215311,4,"The DLS was trained with 70% of the images, and the remaining 30% were used to validate the performance.",0
29215311,5,"Three readers with variable expertise also evaluated the validation set (radiologist, resident, medical student).",0
29215311,6,Diagnostic accuracy was assessed with a receiver operating characteristic analysis.,0
29215311,7,82 patients with malignant and 550 with benign lesions were included.,0
29215311,7,Time needed for training was 7 min (DLS).,0
29215311,8,"Evaluation time for the test data set were 3.7 s (DLS) and 28, 22 and 25 min for human readers (decreasing experience).",0
29215311,9,"Receiver operating characteristic analysis revealed non-significant differences (p-values 0.45-0.47) in the area under the curve of 0.84 (DLS), 0.88 (experienced and intermediate readers) and 0.79 (inexperienced reader).",1
29215311,10,"DLS may aid diagnosing cancer on breast ultrasound images with an accuracy comparable to radiologists, and learns better and faster than a human reader with no prior experience.",1
29215311,11,Further clinical trials with dedicated algorithms are warranted.,0
29215311,12,Advances in knowledge: DLS can be trained classify cancer on breast ultrasound images high accuracy even with comparably few training cases.,1
29215311,13,The fast evaluation speed makes real-time image analysis feasible.,0
30852421,1,Recent studies have demonstrated the use of convolutional neural networks (CNNs) to classify images of melanoma with accuracies comparable to those achieved by board-certified dermatologists.,0
30852421,2,"However, the performance of a CNN exclusively trained with dermoscopic images in a clinical image classification task in direct competition with a large number of dermatologists has not been measured to date.",0
30852421,3,This study compares the performance of a convolutional neuronal network trained with dermoscopic images exclusively for identifying melanoma in clinical photographs with the manual grading of the same images by dermatologists.,0
30852421,4,We compared automatic digital melanoma classification with the performance of 145 dermatologists of 12 German university hospitals.,0
30852421,5,"We used methods from enhanced deep learning to train a CNN with 12,378 open-source dermoscopic images.",0
30852421,6,We used 100 clinical images to compare the performance of the CNN to that of the dermatologists.,0
30852421,7,"Dermatologists were compared with the deep neural network in terms of sensitivity, specificity and receiver operating characteristics.",0
30852421,8,The mean sensitivity and specificity achieved by the dermatologists with clinical images was 89.4% (range: 55.0%-100%) and 64.4% (range: 22.5%-92.5%).,0
30852421,9,"At the same sensitivity, the CNN exhibited a mean specificity of 68.2% (range 47.5%-86.25%).",0
30852421,10,"Among the dermatologists, the attendings showed the highest mean sensitivity of 92.8% at a mean specificity of 57.7%.",0
30852421,11,"With the same high sensitivity of 92.8%, the CNN had a mean specificity of 61.1%.",0
30852421,12,"For the first time, dermatologist-level image classification was achieved on a clinical image classification task without training on clinical images.",0
