"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1208395344893140999",2019-12-21 14:34:35,"TDFINN","@collegegameday @espncfb why though?! <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F><U+0001F37B> #CFB #CollegeFootball #NCAAF #HookEm https://t.co/nK8miYnBHw",0,0,"AMLI at the Ballpark",2820
"1208394080406921216",2019-12-21 14:29:34,"YouNOTthefather","Full scholly surprises.
And the Magic of Christmas. 
Never gets old... #HookEm <U+0001F918><U+0001F3FC>
#SeasonOfGiving <U+0001F384> https://t.co/i3kUBU93v7",0,0,NA,1738
"1208385715421220865",2019-12-21 13:56:19,"kwame557","@DeVonMitchellS1 @Barry_Switzer @TaylorEstes247 @UTAustin @Shana_Jabri Lol #HookEm",0,0,NA,900
"1208381217927774209",2019-12-21 13:38:27,"rikerjoe","OMG, Hell just froze over #hookem https://t.co/SAgSYBkina",2,0,NA,1207
"1208378121042440192",2019-12-21 13:26:09,"C__Diddy","@GPinks @TReedThomas I need this too after the season we’ve had @GPinks #HookEm",0,0,NA,412
"1208368546503430150",2019-12-21 12:48:06,"TexasMBB","GAME DAY !!! Let's do this.

<U+0001F19A> Providence
<U+23F0> 1 pm CT (2 pm ET)
<U+0001F4CD> Providence, RI
<U+0001F4FA> FOX
 
<U+0001F4BB> https://t.co/U6L2Ilat0R
<U+0001F4FB> https://t.co/eudzTyE4C9
<U+0001F4CA> https://t.co/7k8RvOmQlp
<U+0001F39F> https://t.co/ajiWSDlH7x
<U+0001F918> #HookEm https://t.co/cofhPQ9UNH",37,7,NA,167
"1208149471395233792",2019-12-20 22:17:34,"TexasMBB","Gettin’ shots up. <U+0001F624>

#AllForTexas | #HookEm https://t.co/qlJQIKPJPo",137,12,NA,167
"1207764362284470286",2019-12-19 20:47:17,"TexasMBB","Wheels up to Providence <U+2708><U+FE0F><U+0001F918>

#AllForTexas | #HookEm https://t.co/3vx9gj5S4T",188,14,NA,167
"1208088564459884545",2019-12-20 18:15:33,"TexasMBB","Always great connecting two long-time friends! @UConnMBB 

Our @A_Hudy &amp; Donny Marshall at practice today. Donny will be on the @CBBonFOX call tomorrow (1 pm CT). 

#HookEm <U+0001F918><U+0001F3C0> https://t.co/Xv9KbdQkG3",18,0,"Providence, RI",167
"1208008199279915008",2019-12-20 12:56:13,"TexasMBB","Wishing a very Happy Birthday to former player &amp; current @nyknicks assistant coach @ROYALTIVEY (2000-04) from your #TexasFamily!

#Longhorns4Life #HookEm <U+0001F918><U+0001F3C0> https://t.co/dMqCtKvNXc",74,4,NA,167
"1207708432305967104",2019-12-19 17:05:03,"TexasMBB","ON SALE NOW:
Single-game tickets are available NOW for all 9 @Big12Conference home games and the #Big12SEC Challenge game (1/25) vs. LSU.

#AllForTexas #HookEm <U+0001F918><U+0001F3C0>

https://t.co/IJyHLbxtIe",23,5,NA,167
"1208339343200243712",2019-12-21 10:52:03,"CoachYB702","@40acressports UT could use this Special Teams coach. Sign him! #hookem",0,0,NA,210
"1208330097691770883",2019-12-21 10:15:19,"Longhornfocus","#HookEm <U+0001F918> https://t.co/bDRmnJSCtM https://t.co/OTXEdSGN5M",3,0,NA,451
"1208092590559547392",2019-12-20 18:31:33,"Longhornfocus","@CoreyLWren @TexasFootball @KgpoppKyle @JPrestonSports @RecruitLouisian @BCarringtonUT @SuperK_TFB Congrats Corey! #HookEm <U+0001F92B><U+0001F918> https://t.co/6NPPgrUZYO",7,1,NA,451
"1207737259388092417",2019-12-19 18:59:35,"Longhornfocus","Yet Sam Ehlinger is less than 2 weeks from having more Bowl wins than OU has from Baker, Kryler and Jalen combined... <U+0001F92B>#SoonersSmokedInBowls #HookEm https://t.co/laVerPPn1C",120,10,NA,451
"1207767917447630848",2019-12-19 21:01:25,"Longhornfocus","@Jahmyr_Gibbs1 @ChadSimmons_ @Mansell247 @therealkwat Yessir, Congrats! #HookEm <U+0001F918> https://t.co/ATlh0DksVI",14,1,NA,451
"1208031954542612480",2019-12-20 14:30:36,"Longhornfocus","Congrats to @Bijan5Robinson for being named @usatodayhss 1st team All-American <U+0001F3C6> #HookEm <U+0001F92B> https://t.co/ov6CMEFeRn https://t.co/GdTWhDhJHz",10,0,NA,451
"1208274462837280769",2019-12-21 06:34:15,"BigD_Powerlifts","Me and <U+2066>@J_Whitt3<U+2069> was so serious bruh <U+0001F602><U+0001F602> #HOOKEM https://t.co/aK6NGDVjvD",4,0,NA,499
"1208270695152664576",2019-12-21 06:19:16,"jmonies","<U+0001F918><U+0001F3FC> #hookem https://t.co/wuvyAkd1hc",3,0,NA,1654
"1208265783547236352",2019-12-21 05:59:45,"DJCantu","Hell has frozen over! <U+0001F633><U+0001F918><U+0001F3FC> #HookEm #Longhorns #Sooners https://t.co/WTWHT6xleb",1,0,"Mansfield, TX",230
"1208256640421634048",2019-12-21 05:23:26,"GTOphil","#HookEm https://t.co/1RRFfmLioi",1,0,NA,973
"1208251417754001409",2019-12-21 05:02:40,"MrWes923","@mattjlange @valeroalamobowl @KDTrey5 @TexasFootball @Nike After party &amp; Wine Tasting
Get your tickets here : https://t.co/vBG1STtxb1
#HookEm #GoUtes https://t.co/3pMPrFFupM",0,0,NA,13068
"1208213524058652672",2019-12-21 02:32:06,"MrWes923","New Year’s Eve Afterparty &amp; Wine Tasting.
Book Your Hotel Rooms Now!
https://t.co/wjD9FpMu8p
 
@TexasLonghorns 
#HookEm https://t.co/pG4R5BGbab",0,0,NA,13068
"1208250220661878784",2019-12-21 04:57:55,"theotherrene","Effing Rice.  #hookem https://t.co/cDoVLmYNiW",0,0,NA,510
"1208204444585877504",2019-12-21 01:56:01,"theotherrene","@CoachTomHerman  
Yeah, so.   #texas #hookem https://t.co/euXQjDagD2",0,0,NA,510
"1208248388778676225",2019-12-21 04:50:38,"carlystapes","Bachelors of Science, Nutrition. #FemalesInScience #UTAustin #HookEm https://t.co/RDOjEWk9QD",83,2,NA,995
"1208033794416099328",2019-12-20 14:37:55,"richardklinger","Three Amigos #ThisIsTexas #HookEm https://t.co/hoPQdriMgy",8,1,"Austin, TX",853
"1208244696021114880",2019-12-21 04:35:58,"richardklinger","Bob Stoops and Barry Switzer know What’s Up #HookEm <U+0001F918><U+0001F3FD> https://t.co/NWXJSswGxU",35,5,"Austin, TX",853
"1208242559690166279",2019-12-21 04:27:28,"DonKabel","Awesome... Good Sport.. #hookem https://t.co/FjCfgINfyu",0,0,"Texas, USA",667
"1208236540499025921",2019-12-21 04:03:33,"Sportsnaut","#Sooners legend Barry Switzer has great reason for doing 'Horns Up' with Texas fan https://t.co/1ZsJOyiHYa #BarrySwitzer #HookEm https://t.co/fj5VHkgvjh",0,0,NA,11
"1208159509899812866",2019-12-20 22:57:28,"Ezekiel21Mvp","Best version <U+0001F914> thought u were awesome last yr but ok #hookem <U+0001F440><U+0001F918> https://t.co/XLvppqnLjA",1,0,"Texas, USA",3590
"1208234437575659520",2019-12-21 03:55:12,"Ezekiel21Mvp","Future Longhorn #HookEm @kelvontay3 https://t.co/cIaLQLoemp",2,0,"Texas, USA",3590
"1208217694572621829",2019-12-21 02:48:40,"HookemHorns87TF","@757EliteDB @dhglover @Bubblesdnf @RivalsFriedman @HamiltonESPN @DemetricDWarren @BrianDohn247 @overtime #Hookem<U+0001F608> https://t.co/z5lUjF6of6",1,0,NA,343
"1208230809280434176",2019-12-21 03:40:47,"HookemHorns87TF","@highlytoutedtx @MarcusBurris8 #Hookem<U+0001F608>",0,0,NA,343
"1207832858456477697",2019-12-20 01:19:28,"HookemHorns87TF","@JalenMilroe @_jessejensenn_ #Hookem<U+0001F60E>",2,0,NA,343
"1208216481110089730",2019-12-21 02:43:51,"HookemHorns87TF","@Lights2Longhorn Hes coming long as Billy and Derick does and from i know Billy and Derick like Texas alot<U+0001F609> #Hookem",2,0,NA,343
"1208218198660780032",2019-12-21 02:50:40,"HookemHorns87TF","@100YARDLANDLORD @LongHornFrenzy Happy Birthday Xavion<U+0001F60F> #Hookem enjoy your next ride in life https://t.co/aTbjRQLIGU",0,0,NA,343
"1208220346517770240",2019-12-21 02:59:12,"HookemHorns87TF","@757EliteDB guess i forgot you were a JR lol we have a whole year to work on you<U+0001F608><U+0001F60F> #Hookem #trUTh2021 https://t.co/fqGiQGMWGt",1,0,NA,343
"1208217154597851141",2019-12-21 02:46:31,"HookemHorns87TF","Lets go @Billy2Bowman and @Jatavionsanders #Hookem<U+0001F608><U+0001F608><U+0001F608>",5,0,NA,343
"1208228836141412352",2019-12-21 03:32:56,"laynev17","How could you live in Norman. A shit hole town . #hookem",16,0,"Norman, OK",3426
"1208225899155525632",2019-12-21 03:21:16,"Beenjamn_Gee","<U+0001F602><U+0001F602><U+0001F602> You said without ou.. <U+0001F923><U+0001F923><U+0001F923> #HookEm <U+0001F918> https://t.co/Rb5kLXcoWg",0,0,"Virginia, USA",278
"1208218679583920131",2019-12-21 02:52:35,"BeauBlair","@TheTedMSmith @barstoolsports #2 Billy Bowman Jr. @Billy2Bowman #HookEm commit <U+0001F918><U+0001F3FC>",0,0,"Burleson, TX",1189
"1208214944585527296",2019-12-21 02:37:44,"HookEmFanAllDay","Hell yeah! Texas needs to go to every Texas highschool and ask their coaches about their top most athletic dudes and recruit them all day. <U+0001F402><U+0001F918> #Hookem https://t.co/ZMqOXHzUZF",0,0,NA,498
"1207709714072641540",2019-12-19 17:10:08,"NinosCorner","With the hiring of new DC Chris Ash, #Texas will be in a 4-3 defense more often than not. Here are 4 recruits they should target that did not sign on NSD #1:
1. Alfred Collin (DE)
2. Princely Umanmielen (DE)
3. Branard Wright (DT)
4. Brennan Scott (OLB/DE)
#HookEm #ThisIsTexas",48,4,NA,893
"1208213830595207168",2019-12-21 02:33:19,"NinosCorner","HornsCorner: Way Too Early 2020 Texas Defense Depth Chart https://t.co/umxsNn0Z46 #HookEm #HornsUp #TexasFootball #ThisIsTexas #NinosCorner #BattleStats",0,0,NA,893
"1207887812768522242",2019-12-20 04:57:50,"NinosCorner","HornsCorner: Way Too Early 2020 Texas Defense Depth Chart https://t.co/ZsJF4Nh8LU #HookEm #ThisIsTexas #HornsCorner #BattleStats #TexasFootball",2,1,NA,893
"1208213628685561856",2019-12-21 02:32:31,"GPowersScout","Texas commit Billy Bowman Jr with an INT. #HookEm @Billy2Bowman https://t.co/VGsOcqnJns",46,9,NA,2854
"1208213295997562880",2019-12-21 02:31:11,"justinwells2424","Billy Bowman INT NO. 2. #HookEm",86,2,NA,899
"1208199802091188225",2019-12-21 01:37:34,"justinwells2424",". @Jatavionsanders is LE-GIT. #HookEm",57,6,NA,899
"1208207404321705985",2019-12-21 02:07:47,"justinwells2424","‘21 Denton Ryan ATH, #HookEm commit @Billy2Bowman with the INT. Then, craziness. #UILState https://t.co/Ddu0dqVXff",104,10,NA,899
"1208184207996047361",2019-12-21 00:35:36,"justinwells2424","‘20 Shadow Creek elite safety, #HookEm signee Xavion Alford @100YARDLANDLORD here for the state title. #cloUT2020 #UILState https://t.co/KL1aK90MTW",111,5,NA,899
"1208129832632094721",2019-12-20 20:59:32,"justinwells2424","‘20 Carthage ATH, #HookEm target @kelvontay3 is hearing from UT, Florida, and UTSA the most. He has a Texas OV in January. #UILState #bEASTtexas https://t.co/MkMhyr2g0J",135,16,NA,899
